[10:09:31,137] listen on 0.0.0.0:9160 INFO  [TcpFramework.Common.LogManager.Log] [1]
[10:26:20,210] date:2015/6/12 10:26:20 - 秦琼战关公! on id:6879 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:26:29,617] date:2015/6/12 10:26:29 - 秦琼战关公! on id:4195 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:26:41,819] date:2015/6/12 10:26:41 - 秦琼战关公! on id:9490 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:26:57,120] date:2015/6/12 10:26:57 - 秦琼战关公! on id:8712 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:27:04,821] date:2015/6/12 10:27:04 - 秦琼战关公! on id:8013 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:27:28,693] ProcessReceive ERROR: ConnectionReset, receiveSendToken sessionid:3 INFO  [TcpFramework.Common.LogManager.Log] [7]
[10:27:28,693] ProcessReceive ERROR: ConnectionReset, receiveSendToken sessionid:1 INFO  [TcpFramework.Common.LogManager.Log] [8]
[10:27:28,693] ProcessReceive ERROR: ConnectionReset, receiveSendToken sessionid:2 INFO  [TcpFramework.Common.LogManager.Log] [9]
[10:27:28,695] ProcessReceive ERROR: ConnectionReset, receiveSendToken sessionid:4 INFO  [TcpFramework.Common.LogManager.Log] [10]
[10:27:28,714] ProcessReceive ERROR: ConnectionReset, receiveSendToken sessionid:5 INFO  [TcpFramework.Common.LogManager.Log] [7]
[10:27:52,929] date:2015/6/12 10:27:52 - 秦琼战关公! on id:4913 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:28:14,535] date:2015/6/12 10:28:14 - 秦琼战关公! on id:9028 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:28:19,044] date:2015/6/12 10:28:19 - 秦琼战关公! on id:7570 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:28:29,444] date:2015/6/12 10:28:29 - 秦琼战关公! on id:9678 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:28:57,750] date:2015/6/12 10:28:57 - 秦琼战关公! on id:8195 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:00,551] date:2015/6/12 10:29:00 - 秦琼战关公! on id:3438 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:01,553] date:2015/6/12 10:29:01 - 秦琼战关公! on id:831 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:02,554] date:2015/6/12 10:29:02 - 秦琼战关公! on id:8223 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:03,556] date:2015/6/12 10:29:03 - 秦琼战关公! on id:2028 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:04,656] date:2015/6/12 10:29:04 - 秦琼战关公! on id:1057 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:05,658] date:2015/6/12 10:29:05 - 秦琼战关公! on id:8450 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:06,659] date:2015/6/12 10:29:06 - 秦琼战关公! on id:2254 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:07,660] date:2015/6/12 10:29:07 - 秦琼战关公! on id:6059 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:08,662] date:2015/6/12 10:29:08 - 秦琼战关公! on id:3452 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:09,663] date:2015/6/12 10:29:09 - 秦琼战关公! on id:2481 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:10,665] date:2015/6/12 10:29:10 - 秦琼战关公! on id:9873 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:11,667] date:2015/6/12 10:29:11 - 秦琼战关公! on id:3678 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:12,668] date:2015/6/12 10:29:12 - 秦琼战关公! on id:2707 INFO  [TestServerForTcpFramework.Program.RunPeek] [4]
[10:29:12,830] ProcessReceive ERROR: ConnectionReset, receiveSendToken sessionid:7 INFO  [TcpFramework.Common.LogManager.Log] [16]
[10:29:12,832] ProcessReceive ERROR: ConnectionReset, receiveSendToken sessionid:6 INFO  [TcpFramework.Common.LogManager.Log] [15]
